date,new_cases,hosp_patients,mobility
2020-07-15,55813.0,33760.0,-5.0
2020-07-16,57048.0,38539.0,-3.8
2020-07-17,58150.0,40062.0,-6.4
2020-07-18,60222.0,40376.0,4.0
2020-07-19,62417.0,37897.0,-0.2
2020-07-20,64489.0,41140.0,-7.4
2020-07-21,66171.0,42195.0,-6.2
2020-07-22,67261.0,46107.0,-7.6
2020-07-23,67507.0,47834.0,-5.8
2020-07-24,66656.0,46748.0,-6.6
2020-07-25,66702.0,51831.0,4.4
2020-07-26,66750.0,43096.0,0.6
2020-07-27,66796.0,47165.0,-8.0
2020-07-28,67273.0,48115.0,-6.8
2020-07-29,67187.0,45617.0,-5.8
2020-07-30,66655.0,46832.0,-5.6
2020-07-31,65793.0,46150.0,-5.0
2020-08-01,64768.0,50419.0,3.6
2020-08-02,63682.0,50238.0,-1.8
2020-08-03,62657.0,45291.0,-7.0
2020-08-04,62478.0,45134.0,-8.0
2020-08-05,61775.0,44663.0,-3.8
2020-08-06,60854.0,43891.0,-4.0
2020-08-07,60022.0,43210.0,-5.8
2020-08-08,58474.0,41593.0,5.6
2020-08-09,56834.0,41484.0,1.8
2020-08-10,55286.0,42072.0,-8.4
2020-08-11,54173.0,41645.0,-5.6
2020-08-12,53323.0,41817.0,-7.0
2020-08-13,52963.0,41240.0,-6.4
2020-08-14,53322.0,39980.0,-6.8
2020-08-15,52951.0,38699.0,2.4
2020-08-16,52559.0,38850.0,-2.8
2020-08-17,52188.0,39032.0,-9.8
2020-08-18,52446.0,38897.0,-7.2
2020-08-19,52111.0,38002.0,-8.6
2020-08-20,51385.0,37321.0,-6.4
2020-08-21,50466.0,35972.0,-7.8
2020-08-22,49155.0,34888.0,2.8
2020-08-23,47766.0,34609.0,-1.8
2020-08-24,46455.0,34791.0,-12.0
2020-08-25,45628.0,34479.0,-10.4
2020-08-26,44879.0,33624.0,-8.8
2020-08-27,44433.0,33285.0,-9.8
2020-08-28,44516.0,31898.0,-10.6
2020-08-29,43933.0,31178.0,-1.6
2020-08-30,43315.0,31075.0,0.2
2020-08-31,42732.0,31395.0,-11.8
2020-09-01,42249.0,31118.0,-9.0
2020-09-02,41945.0,30827.0,-10.0
2020-09-03,41887.0,30296.0,-6.0
2020-09-04,42144.0,29879.0,-4.2
2020-09-05,42153.0,28845.0,6.2
2020-09-06,42162.0,28369.0,4.6
2020-09-07,42170.0,28589.0,-11.8
2020-09-08,42772.0,28951.0,-13.0
2020-09-09,42628.0,28775.0,-13.2
2020-09-10,41902.0,28065.0,-12.4
2020-09-11,40758.0,27368.0,-10.6
2020-09-12,39369.0,26512.0,-0.8
2020-09-13,37898.0,26329.0,-4.8
2020-09-14,36510.0,26788.0,-11.6
2020-09-15,34946.0,26935.0,-9.6
2020-09-16,34325.0,26372.0,-10.4
2020-09-17,34694.0,26085.0,-10.8
2020-09-18,36101.0,25833.0,-9.8
2020-09-19,37090.0,25480.0,3.0
2020-09-20,38138.0,25543.0,-2.4
2020-09-21,39127.0,26379.0,-13.0
2020-09-22,39654.0,26440.0,-12.0
2020-09-23,40243.0,26484.0,-12.0
2020-09-24,40698.0,26407.0,-12.6
2020-09-25,40821.0,26275.0,-12.2
2020-09-26,41487.0,25904.0,0.2
2020-09-27,42192.0,25970.0,-5.0
2020-09-28,42858.0,27021.0,-16.0
2020-09-29,43481.0,27505.0,-15.8
2020-09-30,43811.0,27669.0,-13.4
2020-10-01,43788.0,27478.0,-11.0
2020-10-02,43355.0,27407.0,-12.0
2020-10-03,43175.0,27271.0,-0.6
2020-10-04,42985.0,27871.0,-6.4
2020-10-05,42805.0,28956.0,-13.8
2020-10-06,42227.0,29999.0,-11.6
2020-10-07,42241.0,30543.0,-12.2
2020-10-08,42747.0,31015.0,-10.6
2020-10-09,43649.0,31207.0,-10.6
2020-10-10,44653.0,30981.0,-1.4
2020-10-11,45718.0,31435.0,-7.4
2020-10-12,46722.0,32780.0,-18.0
2020-10-13,46907.0,33508.0,-14.0
2020-10-14,47593.0,33936.0,-11.2
2020-10-15,48482.0,34388.0,-11.6
2020-10-16,49279.0,34641.0,-15.6
2020-10-17,50772.0,34322.0,-1.4
2020-10-18,52354.0,35016.0,-8.4
2020-10-19,53847.0,36432.0,-17.4
2020-10-20,54333.0,37414.0,-15.4
2020-10-21,55301.0,38105.0,-14.4
2020-10-22,56366.0,38849.0,-12.6
2020-10-23,57146.0,39080.0,-15.0
2020-10-24,58875.0,39341.0,-5.0
2020-10-25,60707.0,39986.0,-13.4
2020-10-26,62435.0,41336.0,-20.4
2020-10-27,62537.0,42272.0,-17.4
2020-10-28,63772.0,43487.0,-17.8
2020-10-29,65569.0,44166.0,-19.2
2020-10-30,67354.0,45075.0,-15.8
2020-10-31,70430.0,45049.0,-4.0
2020-11-01,73689.0,46054.0,-15.2
2020-11-02,76765.0,47938.0,-19.2
2020-11-03,76525.0,49028.0,-13.2
2020-11-04,78828.0,50468.0,-18.0
2020-11-05,82538.0,51790.0,-16.6
2020-11-06,86520.0,52843.0,-16.8
2020-11-07,92973.0,53822.0,-7.2
2020-11-08,99811.0,55716.0,-11.2
2020-11-09,106264.0,58475.0,-19.6
2020-11-10,108990.0,61421.0,-18.6
2020-11-11,113014.0,63328.0,-22.0
2020-11-12,116852.0,65219.0,-22.0
2020-11-13,119021.0,66128.0,-20.8
2020-11-14,125028.0,67220.0,-12.2
2020-11-15,131392.0,69518.0,-16.6
2020-11-16,137399.0,73100.0,-21.2
2020-11-17,140288.0,75499.0,-21.6
2020-11-18,143946.0,77320.0,-21.6
2020-11-19,147090.0,78344.0,-19.6
2020-11-20,148436.0,79739.0,-19.2
2020-11-21,153209.0,79864.0,-11.2
2020-11-22,158266.0,81798.0,-17.2
2020-11-23,163039.0,84179.0,-20.4
2020-11-24,167117.0,86042.0,-16.8
2020-11-25,169578.0,87127.0,-11.4
2020-11-26,169898.0,86555.0,-50.8
2020-11-27,167551.0,88105.0,-30.2
2020-11-28,167186.0,89606.0,-18.4
2020-11-29,166798.0,92453.0,-18.8
2020-11-30,166432.0,95096.0,-26.6
2020-12-01,164710.0,96674.0,-22.0
2020-12-02,164874.0,97842.0,-22.6
2020-12-03,166571.0,97853.0,-21.0
2020-12-04,169452.0,98143.0,-22.8
2020-12-05,172767.0,97247.0,-15.4
2020-12-06,176280.0,98654.0,-18.4
2020-12-07,179596.0,101028.0,-25.0
2020-12-08,180071.0,102304.0,-23.6
2020-12-09,182370.0,104371.0,-22.0
2020-12-10,185473.0,105048.0,-20.8
2020-12-11,188361.0,105653.0,-23.0
2020-12-12,193608.0,105358.0,-15.6
2020-12-13,199166.0,107402.0,-19.0
2020-12-14,204412.0,109689.0,-26.0
2020-12-15,208129.0,110996.0,-22.2
2020-12-16,211025.0,111997.0,-25.6
2020-12-17,212311.0,112445.0,-27.0
2020-12-18,211199.0,112114.0,-23.2
2020-12-19,212582.0,111037.0,-14.2
2020-12-20,214048.0,112401.0,-16.4
2020-12-21,215431.0,114649.0,-17.2
2020-12-22,218459.0,117528.0,-14.4
2020-12-23,218710.0,118106.0,-10.4
2020-12-24,216546.0,116274.0,-22.8
2020-12-25,212328.0,113496.0,-66.2
2020-12-26,207913.0,115521.0,-26.6
2020-12-27,203237.0,118988.0,-21.2
2020-12-28,198822.0,121425.0,-24.4
2020-12-29,194946.0,122665.0,-23.0
2020-12-30,192697.0,123922.0,-21.0
2020-12-31,192530.0,123347.0,-19.2
2021-01-01,194901.0,121053.0,-48.4
2021-01-02,195485.0,122668.0,-21.4
2021-01-03,196103.0,125595.0,-23.4
2021-01-04,196687.0,127427.0,-24.6
2021-01-05,193736.0,128859.0,-23.8
2021-01-06,194900.0,129800.0,-25.8
2021-01-07,199155.0,128814.0,-26.0
2021-01-08,205480.0,127888.0,-28.6
2021-01-09,213484.0,126420.0,-19.8
2021-01-10,221965.0,126533.0,-23.2
2021-01-11,229969.0,127641.0,-28.0
2021-01-12,237470.0,127090.0,-25.8
2021-01-13,241431.0,126556.0,-25.4
2021-01-14,241158.0,133263.0,-25.8
2021-01-15,235954.0,123785.0,-28.4
2021-01-16,233794.0,121134.0,-20.2
2021-01-17,231506.0,120830.0,-21.4
2021-01-18,229347.0,120422.0,-26.8
2021-01-19,231459.0,119384.0,-27.4
2021-01-20,229356.0,117115.0,-28.0
2021-01-21,224376.0,114097.0,-26.4
2021-01-22,217855.0,111831.0,-27.4
2021-01-23,208789.0,108122.0,-21.4
2021-01-24,199184.0,107004.0,-25.8
2021-01-25,190119.0,106268.0,-30.4
2021-01-26,185036.0,104627.0,-30.2
2021-01-27,179697.0,102636.0,-28.4
2021-01-28,175835.0,100050.0,-28.2
2021-01-29,175189.0,96109.0,-28.4
2021-01-30,169672.0,92546.0,-18.6
2021-01-31,163826.0,91436.0,-24.4
2021-02-01,158309.0,90582.0,-33.4
2021-02-02,156311.0,89004.0,-29.4
2021-02-03,152788.0,87279.0,-24.0
2021-02-04,149100.0,84602.0,-25.4
2021-02-05,146607.0,82137.0,-26.0
2021-02-06,140695.0,79111.0,-17.6
2021-02-07,134430.0,77864.0,-26.8
2021-02-08,128518.0,76870.0,-28.2
2021-02-09,125899.0,75626.0,-27.0
2021-02-10,122242.0,72845.0,-25.2
2021-02-11,118874.0,70107.0,-28.8
2021-02-12,117118.0,67536.0,-27.6
2021-02-13,111896.0,64759.0,-21.8
2021-02-14,106364.0,63297.0,-24.8
2021-02-15,101142.0,62214.0,-37.6
2021-02-16,99215.0,61504.0,-34.0
2021-02-17,95890.0,62245.0,-29.2
2021-02-18,92442.0,58308.0,-34.4
2021-02-19,90152.0,56738.0,-30.0
2021-02-20,84639.0,54401.0,-15.6
2021-02-21,78798.0,53614.0,-17.4
2021-02-22,73285.0,53026.0,-25.4
2021-02-23,68849.0,51984.0,-20.2
2021-02-24,65938.0,50956.0,-18.4
2021-02-25,65234.0,49045.0,-20.2
2021-02-26,67419.0,47227.0,-21.6
2021-02-27,67203.0,45334.0,-12.0
2021-02-28,66974.0,44872.0,-15.4
2021-03-01,66757.0,43721.0,-22.0
2021-03-02,67119.0,42650.0,-20.2
2021-03-03,66871.0,42153.0,-16.2
2021-03-04,66188.0,40175.0,-17.8
2021-03-05,65247.0,39581.0,-19.2
2021-03-06,63988.0,38206.0,-9.4
2021-03-07,62654.0,37769.0,-9.6
2021-03-08,61395.0,37687.0,-18.0
2021-03-09,60801.0,37040.0,-15.0
2021-03-10,60031.0,36661.0,-16.2
2021-03-11,59358.0,35914.0,-14.8
2021-03-12,59053.0,35647.0,-15.8
2021-03-13,58026.0,34983.0,-5.6
2021-03-14,56937.0,34412.0,-11.2
2021-03-15,55909.0,34701.0,-19.8
2021-03-16,55118.0,34577.0,-16.0
2021-03-17,54567.0,34595.0,-13.4
2021-03-18,54392.0,34104.0,-17.4
2021-03-19,54730.0,34035.0,-15.0
2021-03-20,54605.0,33214.0,-1.8
2021-03-21,54473.0,33283.0,-1.4
2021-03-22,54349.0,33742.0,-12.6
2021-03-23,53788.0,33996.0,-13.0
2021-03-24,53838.0,34367.0,-14.8
2021-03-25,54385.0,34362.0,-14.0
2021-03-26,55317.0,34634.0,-12.8
2021-03-27,56388.0,33946.0,-0.2
2021-03-28,57522.0,34464.0,-9.0
2021-03-29,58592.0,35027.0,-11.6
2021-03-30,59086.0,35418.0,-9.0
2021-03-31,59743.0,35567.0,-12.8
2021-04-01,60329.0,35571.0,-10.0
2021-04-02,60609.0,35607.0,-11.8
2021-04-03,61508.0,35195.0,0.8
2021-04-04,62460.0,35675.0,-10.0
2021-04-05,63360.0,36624.0,-8.4
2021-04-06,64026.0,37551.0,-6.2
2021-04-07,64515.0,37748.0,-7.0
2021-04-08,64699.0,37953.0,-7.4
2021-04-09,64452.0,37856.0,-11.0
2021-04-10,64619.0,37546.0,-1.2
2021-04-11,64797.0,38089.0,-5.0
2021-04-12,64964.0,38927.0,-12.2
2021-04-13,64967.0,39201.0,-9.4
2021-04-14,65088.0,39469.0,-11.2
2021-04-15,65271.0,39188.0,-12.4
2021-04-16,65458.0,39406.0,-13.0
2021-04-17,65774.0,39012.0,-0.8
2021-04-18,66107.0,39460.0,0.4
2021-04-19,66423.0,40212.0,-11.2
2021-04-20,67414.0,40206.0,-9.0
2021-04-21,67396.0,40046.0,-12.8
2021-04-22,66534.0,39201.0,-10.2
2021-04-23,64995.0,38562.0,-10.6
2021-04-24,63285.0,37357.0,-1.4
2021-04-25,61474.0,37133.0,-3.4
2021-04-26,59764.0,37540.0,-9.0
2021-04-27,59171.0,37207.0,-6.2
2021-04-28,58073.0,36881.0,-7.6
2021-04-29,56898.0,35989.0,-9.2
2021-04-30,56075.0,35364.0,-7.8
2021-05-01,54182.0,34005.0,5.6
2021-05-02,52176.0,33764.0,3.2
2021-05-03,50282.0,33964.0,-11.0
2021-05-04,49279.0,33755.0,-8.4
2021-05-05,48150.0,33339.0,-7.8
2021-05-06,47272.0,32505.0,-4.8
2021-05-07,47024.0,31832.0,-6.6
2021-05-08,45735.0,30635.0,5.0
2021-05-09,44369.0,30154.0,-0.8
2021-05-10,43080.0,29987.0,-9.8
2021-05-11,42728.0,29482.0,-6.8
2021-05-12,41876.0,29113.0,-5.8
2021-05-13,40874.0,28174.0,-2.2
2021-05-14,40072.0,27422.0,-3.2
2021-05-15,38422.0,26184.0,7.8
2021-05-16,36674.0,25646.0,2.6
2021-05-17,35025.0,25563.0,-6.4
2021-05-18,34290.0,25023.0,-4.2
2021-05-19,33271.0,24925.0,-3.6
2021-05-20,32336.0,23954.0,-2.0
2021-05-21,31854.0,23397.0,-3.6
2021-05-22,30407.0,22643.0,7.0
2021-05-23,28873.0,22445.0,3.8
2021-05-24,27426.0,22431.0,-6.6
2021-05-25,26642.0,22087.0,-3.0
2021-05-26,25783.0,21598.0,-3.0
2021-05-27,25133.0,21056.0,-1.0
2021-05-28,24976.0,20398.0,-4.6
2021-05-29,24031.0,19474.0,4.2
2021-05-30,23029.0,19062.0,5.4
2021-05-31,22084.0,18678.0,-6.2
2021-06-01,21891.0,18657.0,-0.6
2021-06-02,21250.0,18083.0,-2.0
2021-06-03,20435.0,17634.0,-2.4
2021-06-04,19721.0,16970.0,-1.4
2021-06-05,18359.0,16298.0,11.2
2021-06-06,16916.0,15987.0,8.4
2021-06-07,15554.0,15742.0,-4.4
2021-06-08,14429.0,15630.0,-2.8
2021-06-09,13717.0,15262.0,-1.0
2021-06-10,13578.0,14838.0,0.8
2021-06-11,14172.0,14421.0,-3.0
2021-06-12,14185.0,13940.0,10.0
2021-06-13,14198.0,13957.0,8.6
2021-06-14,14211.0,13929.0,-2.8
2021-06-15,14448.0,13722.0,0.4
2021-06-16,14398.0,13494.0,2.0
2021-06-17,14122.0,13094.0,3.0
2021-06-18,13681.0,12855.0,0.0
2021-06-19,13151.0,12482.0,10.2
2021-06-20,12590.0,12502.0,6.6
2021-06-21,12060.0,12592.0,-4.4
2021-06-22,11541.0,12538.0,-3.0
2021-06-23,11285.0,12608.0,1.0
2021-06-24,11331.0,12396.0,0.8
2021-06-25,11719.0,12408.0,-2.2
2021-06-26,11915.0,12238.0,7.6
2021-06-27,12123.0,12233.0,7.8
2021-06-28,12319.0,12510.0,-4.4
2021-06-29,12367.0,12662.0,-6.2
2021-06-30,12498.0,12877.0,-2.0
2021-07-01,12657.0,12863.0,0.2
2021-07-02,12789.0,13234.0,1.0
2021-07-03,13052.0,12916.0,11.2
2021-07-04,13330.0,13121.0,14.4
2021-07-05,13593.0,13433.0,-4.4
2021-07-06,11538.0,13974.0,-2.2
2021-07-07,12243.0,14664.0,-2.2
2021-07-08,15048.0,15074.0,-2.8
2021-07-09,19289.0,15409.0,-3.2
2021-07-10,24589.0,15710.0,8.8
2021-07-11,30204.0,16396.0,4.4
2021-07-12,35504.0,17330.0,-4.8
2021-07-13,40624.0,18204.0,-1.8
2021-07-14,43208.0,19085.0,-0.4
2021-07-15,42839.0,19915.0,2.8
2021-07-16,39099.0,20874.0,-1.2
2021-07-17,37311.0,21595.0,9.2
2021-07-18,35416.0,22564.0,9.0
2021-07-19,33628.0,24261.0,-2.0
2021-07-20,30523.0,25700.0,0.0
2021-07-21,29995.0,27055.0,0.4
2021-07-22,31803.0,28605.0,3.0
2021-07-23,35705.0,30295.0,-0.2
2021-07-24,39521.0,31469.0,10.2
2021-07-25,43565.0,33406.0,7.2
2021-07-26,47382.0,35748.0,-2.4
2021-07-27,48263.0,38296.0,-1.0
2021-07-28,50826.0,40473.0,-0.6
2021-07-29,53990.0,42200.0,-1.8
2021-07-30,56675.0,44541.0,-0.2
2021-07-31,61936.0,46428.0,9.8
2021-08-01,67509.0,48538.0,6.0
2021-08-02,72770.0,51780.0,-1.4
2021-08-03,74741.0,54470.0,0.4
2021-08-04,78084.0,56945.0,-0.4
2021-08-05,81519.0,59587.0,0.6
2021-08-06,83767.0,62122.0,-1.2
2021-08-07,89249.0,63544.0,7.4
2021-08-08,95057.0,66369.0,5.6
2021-08-09,100539.0,69838.0,-4.4
2021-08-10,103322.0,72521.0,-3.0
2021-08-11,106623.0,74823.0,-3.4
2021-08-12,109312.0,76968.0,-1.8
2021-08-13,110258.0,78580.0,-3.0
2021-08-14,114269.0,79622.0,7.2
2021-08-15,118519.0,81624.0,6.6
2021-08-16,122531.0,84313.0,-5.2
2021-08-17,124225.0,86744.0,-4.4
2021-08-18,126727.0,88626.0,-4.2
2021-08-19,129113.0,89428.0,-3.4
2021-08-20,130461.0,90191.0,-4.2
2021-08-21,134195.0,90417.0,5.6
2021-08-22,138152.0,92239.0,-1.6
2021-08-23,141886.0,94682.0,-7.4
2021-08-24,144055.0,95992.0,-5.4
2021-08-25,146236.0,95976.0,-4.4
2021-08-26,147734.0,96370.0,-4.0
2021-08-27,147855.0,96192.0,-6.4
2021-08-28,149951.0,95071.0,3.4
2021-08-29,152171.0,96125.0,0.4
2021-08-30,154267.0,97200.0,-8.6
2021-08-31,155397.0,97821.0,-6.0
2021-09-01,156643.0,97992.0,-7.6
2021-09-02,157590.0,97811.0,-2.8
2021-09-03,157826.0,96835.0,-1.6
2021-09-04,159207.0,95082.0,6.6
2021-09-05,160670.0,95280.0,6.6
2021-09-06,162051.0,95910.0,-8.8
2021-09-07,164644.0,96810.0,-5.2
2021-09-08,165002.0,96485.0,-5.2
2021-09-09,163367.0,95684.0,-5.4
2021-09-10,159980.0,94559.0,-3.8
2021-09-11,156576.0,91979.0,7.6
2021-09-12,152970.0,91541.0,2.2
2021-09-13,149566.0,92158.0,-6.8
2021-09-14,146592.0,90633.0,-5.0
2021-09-15,144854.0,89538.0,-4.2
2021-09-16,144707.0,88250.0,-4.0
2021-09-17,146508.0,86780.0,-5.0
2021-09-18,146924.0,84475.0,6.2
2021-09-19,147365.0,83494.0,2.0
2021-09-20,147781.0,83675.0,-7.4
2021-09-21,150343.0,82358.0,-6.2
2021-09-22,150006.0,80843.0,-7.0
2021-09-23,147338.0,79242.0,-4.4
2021-09-24,142905.0,77387.0,-3.6
2021-09-25,137726.0,74807.0,7.6
2021-09-26,132238.0,74161.0,2.6
2021-09-27,127059.0,73886.0,-6.0
2021-09-28,123963.0,72525.0,-6.4
2021-09-29,120960.0,70704.0,-4.6
2021-09-30,118990.0,68918.0,-3.2
2021-10-01,118990.0,67124.0,-2.2
2021-10-02,116287.0,64834.0,6.6
2021-10-03,113424.0,64381.0,0.2
2021-10-04,110722.0,64487.0,-7.4
2021-10-05,109386.0,63508.0,-5.6
2021-10-06,107750.0,62376.0,-5.2
2021-10-07,106380.0,61095.0,-3.4
2021-10-08,105845.0,59461.0,-4.4
2021-10-09,103783.0,57940.0,6.2
2021-10-10,101599.0,57496.0,0.4
2021-10-11,99537.0,57618.0,-8.0
2021-10-12,99039.0,56985.0,-5.8
2021-10-13,97660.0,55885.0,-5.8
2021-10-14,95978.0,54564.0,-3.4
2021-10-15,94570.0,53358.0,-4.6
2021-10-16,91780.0,51837.0,4.8
2021-10-17,88823.0,51504.0,1.0
2021-10-18,86033.0,51723.0,-7.0
2021-10-19,84625.0,50595.0,-5.2
2021-10-20,82942.0,49311.0,-5.2
2021-10-21,81564.0,48405.0,-4.8
2021-10-22,81066.0,47454.0,-5.8
2021-10-23,79005.0,46398.0,2.2
2021-10-24,76821.0,46114.0,-5.4
2021-10-25,74759.0,46380.0,-11.4
2021-10-26,72855.0,45821.0,-9.8
2021-10-27,71828.0,45003.0,-7.6
2021-10-28,71865.0,44195.0,-7.4
2021-10-29,73154.0,43513.0,-9.2
2021-10-30,73648.0,42766.0,-0.2
2021-10-31,74171.0,42513.0,0.6
2021-11-01,74664.0,42623.0,-9.6
2021-11-02,75261.0,42291.0,-9.4
2021-11-03,75472.0,41982.0,-9.0
2021-11-04,75291.0,41357.0,-8.8
2021-11-05,74712.0,40945.0,-10.0
2021-11-06,74265.0,40176.0,-2.4
2021-11-07,73792.0,40472.0,-3.4
2021-11-08,73345.0,41349.0,-9.0
2021-11-09,72415.0,41731.0,-8.4
2021-11-10,72321.0,41806.0,-7.4
2021-11-11,72962.0,41718.0,-10.0
2021-11-12,74232.0,41633.0,-11.8
2021-11-13,75546.0,41372.0,-4.0
2021-11-14,76938.0,41872.0,-7.2
2021-11-15,78252.0,43286.0,-11.4
2021-11-16,77896.0,44010.0,-9.2
2021-11-17,78943.0,44366.0,-8.6
2021-11-18,80838.0,45095.0,-9.2
2021-11-19,83025.0,45157.0,-10.8
2021-11-20,86373.0,44825.0,-3.0
2021-11-21,89921.0,45373.0,-5.6
2021-11-22,93269.0,46834.0,-9.6
2021-11-23,97032.0,47703.0,-5.0
2021-11-24,98532.0,47901.0,0.8
2021-11-25,97653.0,47297.0,-44.8
2021-11-26,94277.0,48189.0,-24.4
2021-11-27,91914.0,49069.0,-11.8
2021-11-28,89410.0,50165.0,-9.4
2021-11-29,87047.0,51813.0,-12.4
2021-11-30,83204.0,52644.0,-11.0
2021-12-01,82442.0,53311.0,-9.2
2021-12-02,84513.0,53587.0,-9.0
2021-12-03,89170.0,54392.0,-9.8
2021-12-04,93607.0,54572.0,-3.4
2021-12-05,98308.0,55670.0,-8.0
2021-12-06,102745.0,57447.0,-14.6
2021-12-07,105384.0,58938.0,-12.6
2021-12-08,107960.0,59721.0,-11.8
2021-12-09,109665.0,60371.0,-11.6
2021-12-10,109692.0,61162.0,-12.6
2021-12-11,112041.0,60921.0,-7.2
2021-12-12,114529.0,61722.0,-7.4
2021-12-13,116877.0,63084.0,-12.2
